Cell access time X,Cell access time Y
1,2.951526762128533e-11
1.25,2.955074291295784e-11
1.5,2.958171492086911e-11
1.75,2.961409630749442e-11
2,2.963068501658133e-11
2.25,2.965041669582126e-11
2.5,2.966868761957326e-11
2.75,2.968076147831229e-11
3,2.968785539849301e-11
3.25,2.969173582215415e-11
3.5,2.969887142526874e-11
3.75,2.96908466874508e-11
4,2.968860257204129e-11
