Cell access time X,Cell access time Y
3,3.781124284120435e-11
4,3.278107016265904e-11
5,3.003802000910488e-11
6,2.833196665729111e-11
7,2.7170059150918e-11
8,2.632844143864837e-11
9,2.568767981312433e-11
10,2.518479864272771e-11
11,2.478420846838776e-11
12,2.444830818869529e-11
