Cell access time X,Cell access time Y
1,7.62160083766084e-11
1.5,5.127291041689252e-11
2,4.000697540774919e-11
2.5,3.366975580262926e-11
3,2.963068501658133e-11
3.5,2.686369491521178e-11
4,2.485730582040326e-11
