Read delay X,Read delay Y
0.6,5.982852752845503e-10
0.7,5.66280298607752e-10
0.8,5.492446472328537e-10
0.9,5.386587473235131e-10
1,5.326270375165007e-10
1.1,5.28687660127838e-10
1.2,5.270014876291624e-10
1.3,5.23946980781434e-10
1.4,5.235331605374926e-10
1.5,5.223590518882825e-10
