vRead X,vRead Y
3,0.140428372583011
4,0.114530247952768
5,0.09635669737008752
6,0.08300583608954232
7,0.07282777361089583
8,0.06483228997901935
9,0.05839556657618446
10,0.05310767468133658
11,0.04868927516731628
12,0.04494397978801151
