Cell access time X,Cell access time Y
0.6,4.620037644440047e-11
0.7,3.759435610131213e-11
0.8,2.963068501658216e-11
0.9,2.43302876202627e-11
1,2.075826180379631e-11
1.1,1.825276959222948e-11
1.2,1.641746340785228e-11
1.3,1.501945946516393e-11
1.4,1.391894736332123e-11
1.5,1.302812540302755e-11
