Delay X,Delay Y
0.5,1.481042408645677e-12
0.6,3.922430012341527e-12
0.7,5.370066651710869e-11
0.8,3.694074490705022e-11
0.9,2.833145873373241e-11
1,2.312139576372162e-11
1.1,1.960585534292265e-11
1.2,1.712466504619704e-11
