Delay X,Delay Y
0.5,4.779242130962563e-10
0.6,2.032982935731544e-10
0.7,2.516801449546252e-10
0.8,1.784125763808665e-10
0.9,1.372378381585921e-10
1,1.132396925984044e-10
1.1,9.802035165450086e-11
1.2,8.771299802881901e-11
1.3,8.036731006332059e-11
1.4,7.494023780760595e-11
1.5,7.081322038009307e-11
