Delay X,Delay Y
0.7,3.104303197050186e-10
0.8,2.920360001252775e-10
0.9,2.822254621994507e-10
1,2.76829377579212e-10
1.1,2.732050079740498e-10
1.2,2.719097889595783e-10
1.3,2.713397680485933e-10
1.4,2.719761273070693e-10
