power delay (sa=1.4) X,power delay (sa=1.4) Y,power delay (sa=1) X,power delay (sa=1) Y,power delay (sa=1.2) X,power delay (sa=1.2) Y,power delay (sa=1.6) X,power delay (sa=1.6) Y,power delay (sa=1.8) X,power delay (sa=1.8) Y,power delay (sa=2) X,power delay (sa=2) Y,power delay (sa=2.2) X,power delay (sa=2.2) Y,power delay (sa=2.4) X,power delay (sa=2.4) Y,power delay (sa=2.6) X,power delay (sa=2.6) Y,power delay (sa=2.8) X,power delay (sa=2.8) Y,power delay (sa=3) X,power delay (sa=3) Y,power delay (sa=3.2) X,power delay (sa=3.2) Y,power delay (sa=3.4) X,power delay (sa=3.4) Y,power delay (sa=3.6) X,power delay (sa=3.6) Y,power delay (sa=3.8) X,power delay (sa=3.8) Y,power delay (sa=4) X,power delay (sa=4) Y
3.4,6.371941713925609e-15,3.4,6.466045151863907e-15,3.4,6.41086271245284e-15,3.4,6.357383740661805e-15,3.4,6.36094962769581e-15,3.4,6.366510271337661e-15,3.4,6.373609752576354e-15,3.4,6.388716889997652e-15,3.4,6.404809227348962e-15,3.4,6.42207342743156e-15,3.4,6.440759258394149e-15,3.4,6.463197434494863e-15,3.4,6.488214670254913e-15,3.4,6.514189377294923e-15,3.4,6.540202246541082e-15,3.4,6.567293562673406e-15
3.6,6.310104313309879e-15,3.6,6.418891341291123e-15,3.6,6.349789151928604e-15,3.6,6.282314730450257e-15,3.6,6.265171572860639e-15,3.6,6.262021433872251e-15,3.6,6.269364924940695e-15,3.6,6.284384810147974e-15,3.6,6.296285000210368e-15,3.6,6.314622950830865e-15,3.6,6.335277899407507e-15,3.6,6.358409989214646e-15,3.6,6.379527226061419e-15,3.6,6.40260395851849e-15,3.6,6.425013683963758e-15,3.6,6.450494517953263e-15
3.8,6.240879505798327e-15,3.8,6.365504988599268e-15,3.8,6.282267378983645e-15,3.8,6.211533788761944e-15,3.8,6.191155750300054e-15,3.8,6.182028573961707e-15,3.8,6.1826606007156e-15,3.8,6.191215340074427e-15,3.8,6.200547349430714e-15,3.8,6.214264459976374e-15,3.8,6.23049430041102e-15,3.8,6.248719531031443e-15,3.8,6.268761740234327e-15,3.8,6.289120422139417e-15,3.8,6.31017231327408e-15,3.8,6.331644188150957e-15
4,6.158777524795668e-15,4,6.318692177954394e-15,4,6.216698542984283e-15,4,6.132528607909922e-15,4,6.111326830465716e-15,4,6.098188693571467e-15,4,6.093375716608133e-15,4,6.09609856329037e-15,4,6.102667340385808e-15,4,6.111612343123531e-15,4,6.123776975052614e-15,4,6.137879337277664e-15,4,6.153419758397601e-15,4,6.17164299234623e-15,4,6.191008603646836e-15,4,6.210813039523156e-15
4.2,6.094299099108277e-15,4.2,6.285602779762864e-15,4.2,6.168435691740591e-15,4.2,6.045606551563431e-15,4.2,6.025476572993892e-15,4.2,6.010202061619061e-15,4.2,6.002260865773948e-15,4.2,5.999569255944905e-15,4.2,6.000923181284706e-15,4.2,6.007057680207753e-15,4.2,6.015402283214216e-15,4.2,6.02470230105446e-15,4.2,6.03647766101335e-15,4.2,6.051570947376969e-15,4.2,6.068623132969773e-15,4.2,6.087099144280299e-15
4.4,6.036441792594539e-15,4.4,6.250599276158954e-15,4.4,6.117884897713919e-15,4.4,5.966004957062567e-15,4.4,5.93262879041466e-15,4.4,5.916671367884448e-15,4.4,5.906915458825332e-15,4.4,5.900798153421646e-15,4.4,5.89795981717087e-15,4.4,5.896853765911767e-15,4.4,5.904782776102141e-15,4.4,5.911331466266727e-15,4.4,5.919521128011723e-15,4.4,5.928683378589458e-15,4.4,5.942957662077291e-15,4.4,5.960585014846153e-15
4.6,5.973272560517855e-15,4.6,6.211748505259183e-15,4.6,6.06551766144154e-15,4.6,5.903310214022111e-15,4.6,5.84918776970286e-15,4.6,5.81713732854388e-15,4.6,5.807933569520751e-15,4.6,5.800047323040621e-15,4.6,5.794348152631225e-15,4.6,5.789211521568794e-15,4.6,5.793609084758735e-15,4.6,5.797121116269673e-15,4.6,5.801717347575874e-15,4.6,5.807875625494196e-15,4.6,5.819383207731371e-15,4.6,5.834640987171413e-15
4.8,5.90858967955638e-15,4.8,6.16915430527013e-15,4.8,6.010073960899986e-15,4.8,5.837346434459528e-15,4.8,5.781164913910434e-15,4.8,5.740231417798426e-15,4.8,5.711863354288254e-15,4.8,5.69611454874923e-15,4.8,5.688910333600321e-15,4.8,5.682564345217058e-15,4.8,5.687250721083871e-15,4.8,5.688197412157238e-15,4.8,5.696094315138189e-15,4.8,5.707143926866701e-15,4.8,5.720090403070514e-15,4.8,5.730817056175291e-15
5,5.843692674088562e-15,5,6.134250384496046e-15,5,5.95358538979609e-15,5,5.768075973299591e-15,5,5.710366047583951e-15,5,5.667505806193405e-15,5,5.637050181244934e-15,5,5.615216567655068e-15,5,5.602042412675822e-15,5,5.596356292110552e-15,5,5.597033982564234e-15,5,5.597238062653602e-15,5,5.602575129709612e-15,5,5.611284267652609e-15,5,5.621705987482591e-15,5,5.630332669050101e-15
5.2,5.776009627824233e-15,5.2,6.111843187233213e-15,5.2,5.907057704110488e-15,5.2,5.691740154108674e-15,5.2,5.63714806024582e-15,5.2,5.594121395793534e-15,5.2,5.56202061146649e-15,5.2,5.537747370319393e-15,5.2,5.521562067664463e-15,5.2,5.512423644331112e-15,5.2,5.509317383553832e-15,5.2,5.511014828023328e-15,5.2,5.511061403779667e-15,5.2,5.517038170414609e-15,5.2,5.525317236155483e-15,5.2,5.532004440402539e-15
