Delay (pu=3) X,Delay (pu=3) Y,Delay (pu=3.2) X,Delay (pu=3.2) Y,Delay (pu=3.4) X,Delay (pu=3.4) Y,Delay (pu=3.6) X,Delay (pu=3.6) Y,Delay (pu=3.8) X,Delay (pu=3.8) Y,Delay (pu=4) X,Delay (pu=4) Y
3,1.670654870480458e-10,3,1.667566273430169e-10,3,1.667901701928379e-10,3,1.668019217939183e-10,3,1.665878371549861e-10,3,1.670166830658306e-10
3.2,1.697698826268268e-10,3.2,1.696356564869171e-10,3.2,1.694967606446681e-10,3.2,1.695755713677035e-10,3.2,1.695672144100804e-10,3.2,1.697240188403311e-10
3.4,1.725815746292754e-10,3.4,1.719332813325288e-10,3.4,1.719663183140342e-10,3.4,1.718506217528502e-10,3.4,1.719255722944416e-10,3.4,1.720796312042458e-10
3.6,1.745217840309173e-10,3.6,1.740509202778597e-10,3.6,1.738440881428295e-10,3.6,1.73830738587707e-10,3.6,1.739344797360067e-10,3.6,1.739754320729663e-10
3.8,1.765969421331106e-10,3.8,1.760511073068958e-10,3.8,1.758485660181722e-10,3.8,1.756922315070371e-10,3.8,1.75749567558556e-10,3.8,1.758318659558123e-10
4,1.784633812338118e-10,4,1.778646646967469e-10,4,1.774545777839651e-10,4,1.774109284550817e-10,4,1.773552789349073e-10,4,1.773005360243149e-10
