Delay X,Delay Y
0.7,3.934019481534668e-10
0.8,2.786848310463799e-10
0.9,2.189996143162157e-10
1,1.83446825155771e-10
1.1,1.600140561985166e-10
1.2,1.437958494828802e-10
1.3,1.319551812676138e-10
1.4,1.229813685528316e-10
1.5,1.160293663843153e-10
