Delay X,Delay Y
0.6,5.012973821897642e-10
0.7,3.070220380056014e-10
0.8,2.254781647611788e-10
0.9,1.82455712495172e-10
1,1.5647320809976e-10
1.1,1.390566315160318e-10
1.2,1.265512613955279e-10
1.3,1.173912538695647e-10
1.4,1.101652096913425e-10
1.5,1.042948048979175e-10
