Power (pu=3.2) X,Power (pu=3.2) Y,Power (pu=3) X,Power (pu=3) Y,Power (pu=3.4) X,Power (pu=3.4) Y,Power (pu=3.6) X,Power (pu=3.6) Y,Power (pu=3.8) X,Power (pu=3.8) Y,Power (pu=4) X,Power (pu=4) Y
3,3.553380102598101e-05,3,3.546577240014981e-05,3,3.56290364049379e-05,3,3.572741813577002e-05,3,3.581751277944765e-05,3,3.58967008926725e-05
3.2,3.596476325736739e-05,3.2,3.588060401606225e-05,3.2,3.604521836969969e-05,3.2,3.61441619590899e-05,3.2,3.625179096939276e-05,3.2,3.634113141967686e-05
3.4,3.638055081178442e-05,3.4,3.630793337804819e-05,3.4,3.64632288069678e-05,3.4,3.65395789245843e-05,3.4,3.664415836160529e-05,3.4,3.672068520052576e-05
3.6,3.670136366660115e-05,3.6,3.660453288373954e-05,3.6,3.677270277324033e-05,3.6,3.686810150640338e-05,3.6,3.693942338152178e-05,3.6,3.704155663883799e-05
3.8,3.7041077104657e-05,3.8,3.695724138794773e-05,3.8,3.712799255511811e-05,3.8,3.722539429407018e-05,3.8,3.730058139616641e-05,3.8,3.73793929755169e-05
4,3.740394576458788e-05,4,3.731943382872153e-05,4,3.748517650896091e-05,4,3.757076619094821e-05,4,3.766534337960548e-05,4,3.77397740888844e-05
