Power Delay (pu=3) X,Power Delay (pu=3) Y,Power Delay (pu=3.2) X,Power Delay (pu=3.2) Y,Power Delay (pu=3.4) X,Power Delay (pu=3.4) Y,Power Delay (pu=3.6) X,Power Delay (pu=3.6) Y,Power Delay (pu=3.8) X,Power Delay (pu=3.8) Y,Power Delay (pu=4) X,Power Delay (pu=4) Y
3,5.925106539566169e-15,3,5.925496815770428e-15,3,5.942573045786408e-15,3,5.959402005781331e-15,3,5.96676198619926e-15,3,5.995347916100401e-15
3.2,6.091445932386539e-15,3.2,6.100906225560075e-15,3.2,6.109547750393782e-15,3.2,6.129166915819484e-15,3.2,6.147115212056439e-15,3.2,6.167962873752183e-15
3.4,6.266080313918381e-15,3.4,6.255027477754889e-15,3.4,6.270447211776485e-15,3.4,6.279349356777152e-15,3.4,6.300067897567137e-15,3.4,6.318881966873681e-15
3.6,6.388288382488603e-15,3.6,6.387906121624332e-15,3.6,6.392716982161264e-15,3.6,6.408809315184652e-15,3.6,6.425039387613073e-15,3.6,6.444320820897091e-15
3.8,6.526535818786806e-15,3.8,6.521122640114969e-15,3.8,6.528904249950891e-15,3.8,6.540212592254517e-15,3.8,6.555561050058968e-15,3.8,6.572488415180718e-15
4,6.660152346805144e-15,4,6.652840271753732e-15,4,6.651916170555066e-15,4,6.665464512704916e-15,4,6.680147481268995e-15,4,6.691282175395755e-15
