power (sa=2) X,power (sa=2) Y,power (sa=1) X,power (sa=1) Y,power (sa=1.2) X,power (sa=1.2) Y,power (sa=1.4) X,power (sa=1.4) Y,power (sa=1.6) X,power (sa=1.6) Y,power (sa=1.8) X,power (sa=1.8) Y,power (sa=2.2) X,power (sa=2.2) Y,power (sa=2.4) X,power (sa=2.4) Y,power (sa=2.6) X,power (sa=2.6) Y,power (sa=2.8) X,power (sa=2.8) Y,power (sa=3) X,power (sa=3) Y,power (sa=3.2) X,power (sa=3.2) Y,power (sa=3.4) X,power (sa=3.4) Y,power (sa=3.6) X,power (sa=3.6) Y,power (sa=3.8) X,power (sa=3.8) Y,power (sa=4) X,power (sa=4) Y
3.4,2.24451295993023e-05,3.4,2.127933717802948e-05,3.4,2.159854030841262e-05,3.4,2.185364151206277e-05,3.4,2.207123146073757e-05,3.4,2.226567869532354e-05,3.4,2.261281183228691e-05,3.4,2.277310375539293e-05,3.4,2.293043475944975e-05,3.4,2.308055456256064e-05,3.4,2.32306857286566e-05,3.4,2.337487683843861e-05,3.4,2.351871227884546e-05,3.4,2.365879002926504e-05,3.4,2.379747861642092e-05,3.4,2.393216756893277e-05
3.6,2.310523233909263e-05,3.6,2.192700556971726e-05,3.6,2.225151437586376e-05,3.6,2.250898520299305e-05,3.6,2.272905667874711e-05,3.6,2.292486008856021e-05,3.6,2.32737972434921e-05,3.6,2.343465501874855e-05,3.6,2.359244729995337e-05,3.6,2.3742702240049e-05,3.6,2.388954501627782e-05,3.6,2.403731542280239e-05,3.6,2.417935660788954e-05,3.6,2.432158548435551e-05,3.6,2.446030084910892e-05,3.6,2.459762415688141e-05
3.8,2.370157859280881e-05,3.8,2.251659916520515e-05,3.8,2.284516954748884e-05,3.8,2.310300355352424e-05,3.8,2.332478767133909e-05,3.8,2.35208989008003e-05,3.8,2.387131103800635e-05,3.8,2.403447529804635e-05,3.8,2.418957915573186e-05,3.8,2.433992625313527e-05,3.8,2.448655902969258e-05,3.8,2.463056334843699e-05,3.8,2.477616482368424e-05,3.8,2.491844912218979e-05,3.8,2.505712417555307e-05,3.8,2.519450594397759e-05
4,2.423813805106122e-05,4,2.305166787841723e-05,4,2.338287499202063e-05,4,2.364021572430592e-05,4,2.386116570917587e-05,4,2.405766103032675e-05,4,2.440753467423331e-05,4,2.457144857536976e-05,4,2.472642482832594e-05,4,2.487655217780009e-05,4,2.502306301417651e-05,4,2.516672669886053e-05,4,2.530804043056401e-05,4,2.54518302700008e-05,4,2.5592567922223e-05,4,2.572977843461781e-05
4.2,2.472073213757118e-05,4.2,2.353790712605713e-05,4.2,2.38668488607777e-05,4.2,2.412737695794719e-05,4.2,2.43439193938501e-05,4.2,2.454121222199254e-05,4.2,2.489203605973914e-05,4.2,2.505306267993033e-05,4.2,2.520782239610697e-05,4.2,2.535769120941278e-05,4.2,2.550381144764926e-05,4.2,2.564311189655477e-05,4.2,2.578367102712463e-05,4.2,2.593110941258585e-05,4.2,2.607162905343796e-05,4.2,2.620856611811516e-05
4.4,2.515200700190804e-05,4.4,2.397700634064929e-05,4.4,2.430445160447471e-05,4.4,2.456412496396953e-05,4.4,2.477861755141068e-05,4.4,2.497444679904993e-05,4.4,2.532236379359515e-05,4.4,2.548233957305194e-05,4.4,2.563617076362861e-05,4.4,2.578510455782159e-05,4.4,2.593023784109918e-05,4.4,2.60725813791701e-05,4.4,2.621234793924436e-05,4.4,2.635051761923138e-05,4.4,2.649934346441577e-05,4.4,2.663605690366239e-05
4.6,2.553949707793267e-05,4.6,2.437455568574205e-05,4.6,2.469933742111353e-05,4.6,2.495692963288023e-05,4.6,2.51699054150136e-05,4.6,2.536138901060796e-05,4.6,2.570899001079689e-05,4.6,2.586785850758241e-05,4.6,2.602100030981109e-05,4.6,2.616947992281419e-05,4.6,2.63141547443191e-05,4.6,2.645590335188576e-05,4.6,2.659506309341097e-05,4.6,2.67327950846598e-05,4.6,2.686916754839694e-05,4.6,2.701732590657004e-05
4.8,2.588714679958427e-05,4.8,2.473405821895839e-05,4.8,2.505548622741269e-05,4.8,2.531064504963515e-05,4.8,2.552064956675948e-05,4.8,2.571021389920026e-05,4.8,2.605440885260499e-05,4.8,2.621251338417422e-05,4.8,2.636477849057034e-05,4.8,2.651252695594861e-05,4.8,2.665658397296122e-05,4.8,2.679771220959717e-05,4.8,2.693647630994585e-05,4.8,2.707548412714488e-05,4.8,2.721169463573848e-05,4.8,2.734663760271355e-05
5,2.619587045652018e-05,5,2.505945052634321e-05,5,2.537693416375692e-05,5,2.562860453020737e-05,5,2.58407210999386e-05,5,2.602272504835191e-05,5,2.636333057675168e-05,5,2.652057523633256e-05,5,2.667182502466564e-05,5,2.681863597407584e-05,5,2.696212320251524e-05,5,2.710272744939356e-05,5,2.724088110310187e-05,5,2.737936144712405e-05,5,2.751481786447999e-05,5,2.764918180562907e-05
5.2,2.647491145561944e-05,5.2,2.535436935160353e-05,5.2,2.566974527623011e-05,5.2,2.591198419452036e-05,5.2,2.612291383653061e-05,5.2,2.630359420159325e-05,5.2,2.664099227111484e-05,5.2,2.679673368935968e-05,5.2,2.694721333127664e-05,5.2,2.7093449502656e-05,5.2,2.723639364154113e-05,5.2,2.737654016957371e-05,5.2,2.751434120043141e-05,5.2,2.765041219606255e-05,5.2,2.778510531953584e-05,5.2,2.791694439833397e-05
