Power X,Power Y
0.4,1.491209792737585e-07
0.5,1.301977650470729e-06
0.6,3.515266799568105e-06
0.7,6.891800441954776e-06
0.8,1.151622510544135e-05
0.9,1.734250079802361e-05
1,2.435098236162719e-05
1.1,3.044978860346191e-05
1.2,4.353435591251082e-05
